Szabolcs Horvath,European Club Association
Morella Siemers,Platform for International Cooperation on Undocumented Migrants
Annukka Ojala,WWF European Policy Programme
Olai Voionmaa,International Crisis Group
Arunas Ribokas,Ocean Energy Europe
Janusz Wojciechowski (Commissioner),Niezależny Samorządny Związek Zawodowy "Solidarność"
Anthony Whelan,Wreless Connect Ltd.
Johannes Hahn (Commissioner),UniCredit
Barbara Herbolzheimer,UniCredit
Barbara Herbolzheimer,Boehringer Ingelheim
Johannes Hahn (Commissioner),Boehringer Ingelheim
Barbara Herbolzheimer,PHARMIG - Verband der pharmazeutischen Industrie Österreichs
Johannes Hahn (Commissioner),PHARMIG - Verband der pharmazeutischen Industrie Österreichs
Maciej Golubiewski,Diageo
Kim-Tobias Eling,International Crisis Group
Alienor Margerit,Atlantia
Maciej Golubiewski,Euroseeds
Darta Tentere,Aercap Holdings NV
Filomena Chirico,Kelkoo Group Limited
Paolo Gentiloni (Commissioner),Associazione delle Imprese del farmaco
Marco Piantini,Associazione delle Imprese del farmaco
Alienor Margerit,Mediobanca - Banca di Credito Finanziario
Arunas Ribokas,European Water and Wastewater Regulatory Authorities
Janusz Wojciechowski (Commissioner),Naturland e.V.
Johannes Hahn (Commissioner),MEYER WERFT GmbH & Co. KG
Kim-Tobias Eling,Médecins Sans Frontières International
Helena Braun,International Union for Conservation of Nature EU Representative Office
Nicolo Brignoli,Société Générale
Florian Denis,Société Générale
Anthony Agotha,IKV, Fondation pour le Développement Economique
Roxana Lesovici,Stena AB
Roxana Lesovici,Proman AG
Julia Lemke,Global Citizen
Ursula von der Leyen (President),European Round Table for Industry
Tommy De Temmerman,European Association of Co-operative Banks
Mairead McGuinness (Commissioner),European Association of Co-operative Banks
Nathalie De Basaldua Lemarchand,CHAMBRE OFFICIELLE DE COMMERCE D' ESPAGNE EN BELGIQUE ET AU LUXEMBOURG ASBL
Mairead McGuinness (Commissioner),CHAMBRE OFFICIELLE DE COMMERCE D' ESPAGNE EN BELGIQUE ET AU LUXEMBOURG ASBL
Valeria Miceli,Mastercard Europe
Ana Carla  Pereira,Caritas Europa
Cristina Rueda Catry,Verband Deutscher Maschinen- und Anlagenbau e.V.
Virginijus Sinkevičius (Commissioner),Association of National Organisations of Fishing Enterprises in the European Union
Helena Braun,Ragn Sells AS
Virginijus Sinkevičius (Commissioner),Fiskesekretariatet
Carmen Preising,Fiskesekretariatet
Agne Razmislaviciute-Palioniene,Fiskesekretariatet
Virginijus Sinkevičius (Commissioner),The Pew Charitable Trusts
Carmen Preising,The Pew Charitable Trusts
Agne Razmislaviciute-Palioniene,The Pew Charitable Trusts
