Name;Policy area;Former employer;New employer;Date;
;;;;;
;;;;;
"Graham Watson 

UK";General;European Parliament, Member of European Parliament (for 20 years);Bagehot Ltd, Founder and managing director;Oct 2014;September 19th 2017
"Arlene McCarthy 

UK";General;European parliament, Member of European parliament (for 20 years);Sovereign Strategy, Deputy chair for European strategy;Jul 2014;August 1st 2016  (updated)
"Corien Wortmann-Kool 

Netherlands";Finance;European parliament, Member of European parliament (for 10 years);Aegon NV + ABP, Supervisory board member;May 2014;July 6th 2016  (updated)
"Vincenzo Salvatore 

Italy";Health/Medicines;European Medicines Agency, Head of Legal Service;Sidley Austin LLP, Senior Counsel (European life sciences regulatory practice);Jun 2012;February 27th 2013
"Maria Damanaki 

Greece";Maritime affairs;European Commission, Commissioner for maritime affairs and fisheries;The Nature Conservancy, Global managing director for oceans;Jan 2015;October 28th 2015  (updated)
"Emilie Turunen 

Denmark";Finance;European Parliament, Member of European parliament (for 5 years);Nykredit, Head of public affairs;Sep 2014;May 11th 2015
"Brian Simpson 

UK";;European Parliament, Member of European Parliament (for 23 years);Hume Brophy, Senior consultant;Jul 2014;November 18th 2015
"Eddy Wymeersch 

Belgium";Finance;Committee of European Securities Regulators (CESR) , Chairman;Non‐executive director and senior advisor , Association for Financial Markets in Europe (AFME);Sep 2012;December 3rd 2013
"Peter Faross 

Germany";General;DG Energy, Acting deputy director general;UEAPME (Union Européenne de l’Artisanat et des Petites et Moyennes Entreprises) + Kaesler & Kollegen, Secretary-general + adviser;Jan 2014;February 17th 2016  (updated)
"Jan Eric Frydman 

Sweden";Trade;Ekenberg & Andersson, Lawyer & partner;DG Trade, Special adviser for trade policy and transatlantic affairs;Mar 2015;July 5th 2017  (updated)
"Edgar Meister 

Germany";Finance;DWS Investment (investment branch of Deutsche Bank), Member of the supervisory board;European Central Bank, Member of the Administrative Board of Review;Nov 2014;October 15th 2019
"Fanny-Pomme Langue 

France";Energy/Climate;DG Energy, Policy Officer;European Biomass Association (AEBIOM), Policy Director;Jan 2013;November 18th 2015
"José Manuel Barroso 

Portugal";General;European Commission, President (for 10 years);Various including Goldman Sachs, European Business Summit + Bilderberg Conferences,;Nov 2014;July 19th 2016  (updated)
"Viviane Reding 

Luxembourg";General;European Commission, Commissioner for Justice;Various, including Bertelsmann Foundation + Agfa-Gevaert, Member of board;Nov 2014;October 15th 2019  (updated)
"Serge Abou 

France";Business/Industry;DG External Relations (now European External Action Service), EU Ambassador to China;Huawei, Adviser;Jul 2013;October 15th 2019
"Ann Mettler 

German-Swedish";General;The Lisbon Council + Global Agenda Council, Executive director + Vice-Chair;European Commission, Head of the European Political Strategy Centre (EPSC);Dec 2014;November 18th 2015
"Matt Hinde 

UK";Energy/Climate;UK government's Department of Energy and Climate Change, Head of EU Strategy;FleishmanHillard, Senior Vice-President and Head of its energy practice;Oct 2015;November 19th 2015  (new)
"Siim Kallas 

Estonia";General;European Commission, European commissioner for transport (previously transparency);Nortal, Consultant;May 2015;October 28th 2015  (updated)
"Martin Bresson 

Denmark";Finance;Permanent Representation of Denmark, Counsellor on financial services during the Danish Presidency of the EU;Fleishman-Hillard, Senior Policy Adviser to the financial services practice;Sep 2012;December 3rd 2013
